imdb_id,Movie,Release Year,Rating,# of Ratings,Genre,Awards,Oscar Ws,Oscar Ns,Other Ws,Other Ns,Director,Cast,Description
tt1602613,Only God Forgives ,2013,5.8,"63,532","Crime, Drama, Thriller",9 wins & 15 nominations.,0,0,9,15,Nicolas Winding Refn,"Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Gordon Brown","Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death."
tt1714915,Only Lovers Left Alive ,2013,7.3,"32,299","Drama, Horror, Romance",3 wins & 6 nominations.,0,0,3,6,Jim Jarmusch,"Tilda Swinton, Tom Hiddleston, Anton Yelchin, Mia Wasikowska","A depressed musician reunites with his lover, though their romance - which has already endured several centuries - is disrupted by the arrival of uncontrollable younger sister."
tt1206543,Out of the Furnace ,2013,6.8,"59,728","Crime, Drama, Thriller",2 wins & 7 nominations.,0,0,2,7,Scott Cooper,"Woody Harrelson, Dendrie Taylor, Carl Ciarfalio, Nancy Mosser","When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice."
tt1623205,Oz the Great and Powerful ,2013,6.4,"153,670","Adventure, Family, Fantasy",5 wins & 29 nominations.,0,0,5,29,Sam Raimi,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.
tt1663662,Pacific Rim ,2013,7.1,"289,338","Action, Adventure, Sci-Fi",Nominated for 1 BAFTA Film Award. Another 7 wins & 30 nominations.,0,0,7,30,Guillermo del Toro,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
tt1980209,Pain & Gain ,2013,6.5,"124,669","Action, Comedy, Crime",4 nominations.,0,0,0,4,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub",A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.
tt2479800,Palo Alto ,2013,6.4,"6,998",Drama,1 nomination.,0,0,0,1,Gia Coppola,"Jack Kilmer, Nat Wolff, Emma Roberts, Olivia Crocicchia","Shy, sensitive April is the class virgin, torn between an illicit flirtation with her soccer coach Mr. B and an unrequited crush on sweet stoner Teddy. Emily, meanwhile, offers sexual ..."
tt1904996,Parker ,2013,6.2,"69,703","Action, Crime, Thriller",1 nomination.,0,0,0,1,Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce","A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist."
tt2431286,Philomena ,2013,7.7,"53,481","Biography, Drama",Nominated for 4 Oscars. Another 27 wins & 56 nominations.,0,4,27,56,Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
tt2195548,Prince Avalanche ,2013,6.4,"12,152","Comedy, Drama",2 wins & 4 nominations.,0,0,2,4,David Gordon Green,"Paul Rudd, Emile Hirsch, Lance LeGault, Joyce Payne",Two highway road workers spend the summer of 1988 away from their city lives. The isolated landscape becomes a place of misadventure as the men find themselves at odds with each other and the women they left behind.
tt1392214,Prisoners ,2013,8.1,"245,853","Crime, Drama, Thriller",Nominated for 1 Oscar. Another 9 wins & 25 nominations.,0,1,9,25,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?"
tt1411250,Riddick ,2013,6.4,"98,203","Action, Sci-Fi, Thriller",2 nominations.,0,0,0,2,David Twohy,"Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff","Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past."
tt1979320,Rush ,2013,8.2,"195,168","Action, Biography, Drama",Nominated for 2 Golden Globes. Another 8 wins & 45 nominations.,0,0,8,45,Ron Howard,"Chris Hemsworth, Daniel BrÃ¼hl, Olivia Wilde, Alexandra Maria Lara",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
tt2140373,Saving Mr. Banks ,2013,7.6,"83,658","Biography, Comedy, Drama",Nominated for 1 Oscar. Another 11 wins & 63 nominations.,0,1,11,63,John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
tt2370248,Short Term 12 ,2013,8,"29,861",Drama,31 wins & 54 nominations.,0,0,31,54,Destin Daniel Cretton,"Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
tt2053463,Side Effects ,2013,7.1,"123,593","Crime, Drama, Thriller",2 nominations.,0,0,0,2,Steven Soderbergh,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum",A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.
tt0882977,Snitch ,2013,6.5,"53,333","Action, Drama, Thriller",1 nomination.,0,0,0,1,Ric Roman Waugh,"Dwayne Johnson, Barry Pepper, Jon Bernthal, Susan Sarandon",A father goes undercover for the DEA in order to free his son who was imprisoned after being set up in drug deal.
tt1706620,Snowpiercer ,2013,7,"94,980","Action, Sci-Fi, Thriller",5 wins & 20 nominations.,0,0,5,20,Joon-ho Bong,"Chris Evans, Kang-ho Song, Ed Harris, John Hurt","Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges."
tt1408101,Star Trek Into Darkness ,2013,7.9,"315,007","Action, Adventure, Sci-Fi",Nominated for 1 Oscar. Another 7 wins & 38 nominations.,0,1,7,38,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
